time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-06 00:00:00+00:00,3,3,4,1
2026-08-07 00:00:00+00:00,16,7,0,0
2026-08-08 00:00:00+00:00,7,6,0,0
2026-08-09 00:00:00+00:00,13,5,0,0
2026-08-10 00:00:00+00:00,8,4,0,0
2026-08-11 00:00:00+00:00,17,5,0,0
2026-08-12 00:00:00+00:00,23,10,2,1
2026-08-13 00:00:00+00:00,8,7,0,0
2026-08-14 00:00:00+00:00,15,6,1,1
2026-08-15 00:00:00+00:00,15,5,0,0
2026-08-16 00:00:00+00:00,13,6,1,1
2026-08-17 00:00:00+00:00,11,6,5,1
2026-08-18 00:00:00+00:00,1,1,1,1
2026-08-19 00:00:00+00:00,9,4,0,0
